,Date,Total System (kWh),Full Load Hours (Monthly),Total Yield (kWh),Daily Value (kWh)
1,2025-01-01,,16.34,8388.7,0.1
2,2025-01-02,,16.34,8388.7,0.2
3,2025-01-03,,16.34,8388.7,0.2
4,2025-01-04,,16.34,8388.7,0.1
5,2025-01-05,,16.34,8388.7,0.2
6,2025-01-06,,16.34,8388.7,0.1
7,2025-01-07,,16.34,8388.7,0.2
8,2025-01-08,,16.34,8388.7,6.3
9,2025-01-09,,16.34,8388.7,18.5
10,2025-01-10,,16.34,8388.7,4.0
11,2025-01-11,,16.34,8388.7,0.8
12,2025-01-12,,16.34,8388.7,1.0
13,2025-01-13,,16.34,8388.7,0.5
14,2025-01-14,,16.34,8388.7,1.4
15,2025-01-15,,16.34,8388.7,10.4
16,2025-01-16,,16.34,8388.7,13.0
17,2025-01-17,,16.34,8388.7,13.3
18,2025-01-18,,16.34,8388.7,5.4
19,2025-01-19,,16.34,8388.7,6.4
20,2025-01-20,,16.34,8388.7,4.8
21,2025-01-21,,16.34,8388.7,16.5
22,2025-01-22,,16.34,8388.7,8.3
23,2025-01-23,,16.34,8388.7,15.8
24,2025-01-24,,16.34,8388.7,15.4
25,2025-01-25,,16.34,8388.7,22.3
26,2025-01-26,,16.34,8388.7,30.6
27,2025-01-27,,16.34,8388.7,21.1
28,2025-01-28,,16.34,8388.7,14.6
29,2025-01-29,,16.34,8388.7,0.5
30,2025-01-30,,16.34,8388.7,0.4
31,2025-01-31,,16.34,8388.7,0.4
32,2025-02-01,,18.38,8388.7,0.3
33,2025-02-02,,18.38,8388.7,0.1
34,2025-02-03,,18.38,8388.7,0.2
35,2025-02-04,,18.38,8388.7,0.2
36,2025-02-05,,18.38,8388.7,0.2
37,2025-02-06,,18.38,8388.7,0.1
38,2025-02-07,,18.38,8388.7,0.2
39,2025-02-08,,18.38,8388.7,0.2
40,2025-02-09,,18.38,8388.7,0.2
41,2025-02-10,,18.38,8388.7,0.3
42,2025-02-11,,18.38,8388.7,0.2
43,2025-02-12,,18.38,8388.7,0.2
44,2025-02-13,,18.38,8388.7,0.2
45,2025-02-14,,18.38,8388.7,0.2
46,2025-02-15,,18.38,8388.7,0.2
47,2025-02-16,,18.38,8388.7,0.3
48,2025-02-17,,18.38,8388.7,0.4
49,2025-02-18,,18.38,8388.7,0.4
50,2025-02-19,,18.38,8388.7,0.5
51,2025-02-20,,18.38,8388.7,0.3
52,2025-02-21,,18.38,8388.7,2.8
53,2025-02-22,,18.38,8388.7,23.5
54,2025-02-23,,18.38,8388.7,36.2
55,2025-02-24,,18.38,8388.7,43.3
56,2025-02-25,,18.38,8388.7,44.3
57,2025-02-26,,18.38,8388.7,25.0
58,2025-02-27,,18.38,8388.7,35.4
59,2025-02-28,,18.38,8388.7,46.5
60,2025-03-01,,65.7,8388.7,35.4
61,2025-03-02,,65.7,8388.7,42.6
62,2025-03-03,,65.7,8388.7,37.4
63,2025-03-04,,65.7,8388.7,48.2
64,2025-03-05,,65.7,8388.7,47.9
65,2025-03-06,,65.7,8388.7,49.3
66,2025-03-07,,65.7,8388.7,44.8
67,2025-03-08,,65.7,8388.7,40.4
68,2025-03-09,,65.7,8388.7,13.0
69,2025-03-10,,65.7,8388.7,24.7
70,2025-03-11,,65.7,8388.7,43.9
71,2025-03-12,,65.7,8388.7,15.0
72,2025-03-13,,65.7,8388.7,6.7
73,2025-03-14,,65.7,8388.7,3.4
74,2025-03-15,,65.7,8388.7,2.8
75,2025-03-16,,65.7,8388.7,7.5
76,2025-03-17,,65.7,8388.7,15.8
77,2025-03-18,,65.7,8388.7,53.4
78,2025-03-19,,65.7,8388.7,50.0
79,2025-03-20,,65.7,8388.7,37.2
80,2025-03-21,,65.7,8388.7,48.3
81,2025-03-22,,65.7,8388.7,52.0
82,2025-03-23,,65.7,8388.7,53.9
83,2025-03-24,,65.7,8388.7,45.4
84,2025-03-25,,65.7,8388.7,53.0
85,2025-03-26,,65.7,8388.7,41.8
86,2025-03-27,,65.7,8388.7,0.5
87,2025-03-28,,65.7,8388.7,0.2
88,2025-03-29,,65.7,8388.7,0.6
89,2025-03-30,,65.7,8388.7,1.0
90,2025-03-31,,65.7,8388.7,17.5
91,2025-04-01,,113.1,8388.7,38.8
92,2025-04-02,,113.1,8388.7,56.3
93,2025-04-03,,113.1,8388.7,49.1
94,2025-04-04,,113.1,8388.7,58.3
95,2025-04-05,,113.1,8388.7,56.8
96,2025-04-06,,113.1,8388.7,56.5
97,2025-04-07,,113.1,8388.7,39.9
98,2025-04-08,,113.1,8388.7,38.0
99,2025-04-09,,113.1,8388.7,55.5
100,2025-04-10,,113.1,8388.7,52.4
101,2025-04-11,,113.1,8388.7,51.0
102,2025-04-12,,113.1,8388.7,0.0
103,2025-04-13,,113.1,8388.7,51.0
104,2025-04-14,,113.1,8388.7,0.0
105,2025-04-15,,113.1,8388.7,0.0
106,2025-04-16,,113.1,8388.7,43.9
107,2025-04-17,,113.1,8388.7,78.8
108,2025-04-18,,113.1,8388.7,0.0
109,2025-04-19,,113.1,8388.7,0.0
110,2025-04-20,,113.1,8388.7,0.0
111,2025-04-21,,113.1,8388.7,0.0
112,2025-04-22,,113.1,8388.7,0.0
113,2025-04-23,,113.1,8388.7,0.0
114,2025-04-24,,113.1,8388.7,0.0
115,2025-04-25,,113.1,8388.7,0.0
116,2025-04-26,,113.1,8388.7,81.0
117,2025-04-27,,113.1,8388.7,5.8
118,2025-04-28,,113.1,8388.7,0.0
119,2025-04-29,,113.1,8388.7,35.1
120,2025-04-30,,113.1,8388.7,27.5
121,2025-05-01,,126.48,8388.7,33.1
122,2025-05-02,,126.48,8388.7,86.8
123,2025-05-03,,126.48,8388.7,80.8
124,2025-05-04,,126.48,8388.7,0.1
125,2025-05-05,,126.48,8388.7,0.0
126,2025-05-06,,126.48,8388.7,0.0
127,2025-05-07,,126.48,8388.7,53.1
128,2025-05-08,,126.48,8388.7,5.9
129,2025-05-09,,126.48,8388.7,67.5
130,2025-05-10,,126.48,8388.7,70.1
131,2025-05-11,,126.48,8388.7,83.1
132,2025-05-12,,126.48,8388.7,21.9
133,2025-05-13,,126.48,8388.7,0.0
134,2025-05-14,,126.48,8388.7,58.4
135,2025-05-15,,126.48,8388.7,10.0
136,2025-05-16,,126.48,8388.7,7.5
137,2025-05-17,,126.48,8388.7,77.0
138,2025-05-18,,126.48,8388.7,42.0
139,2025-05-19,,126.48,8388.7,21.3
140,2025-05-20,,126.48,8388.7,17.4
141,2025-05-21,,126.48,8388.7,30.7
142,2025-05-22,,126.48,8388.7,52.9
143,2025-05-23,,126.48,8388.7,21.6
144,2025-05-24,,126.48,8388.7,94.2
145,2025-05-25,,126.48,8388.7,95.2
146,2025-05-26,,126.48,8388.7,83.7
147,2025-05-27,,126.48,8388.7,75.2
148,2025-05-28,,126.48,8388.7,0.0
149,2025-05-29,,126.48,8388.7,0.0
150,2025-05-30,,126.48,8388.7,93.4
151,2025-05-31,,126.48,8388.7,68.8
152,2025-06-01,,111.82,8388.7,24.3
153,2025-06-02,,111.82,8388.7,67.2
154,2025-06-03,,111.82,8388.7,79.0
155,2025-06-04,,111.82,8388.7,73.2
156,2025-06-05,,111.82,8388.7,86.3
157,2025-06-06,,111.82,8388.7,41.8
158,2025-06-07,,111.82,8388.7,37.6
159,2025-06-08,,111.82,8388.7,87.1
160,2025-06-09,,111.82,8388.7,95.0
161,2025-06-10,,111.82,8388.7,83.5
162,2025-06-11,,111.82,8388.7,62.0
163,2025-06-12,,111.82,8388.7,14.6
164,2025-06-13,,111.82,8388.7,23.6
165,2025-06-14,,111.82,8388.7,32.7
166,2025-06-15,,111.82,8388.7,80.3
167,2025-06-16,,111.82,8388.7,92.6
168,2025-06-17,,111.82,8388.7,82.7
169,2025-06-18,,111.82,8388.7,79.4
170,2025-06-19,,111.82,8388.7,34.5
171,2025-06-20,,111.82,8388.7,
172,2025-06-21,,111.82,8388.7,
173,2025-06-22,,111.82,8388.7,
174,2025-06-23,,111.82,8388.7,
175,2025-06-24,,111.82,8388.7,
176,2025-06-25,,111.82,8388.7,
177,2025-06-26,,111.82,8388.7,89.8
