,index,time,ghi,dhi,dni,temp_air,cloud_cover (%),wind_speed,precipitation (mm),This Month Full Load Hours (h),Total Yield (kWh),Daily Value (kWh),poa_global,theoretical_kwh,PR_Daily,Month,Daily Value Imputed,energy_mwh,co2_avoided,trees_saved,cars_offroad,homes_powered,coal_emission_avoided,coal_tonnage_avoided,gas_saved
0,0,2025-01-01,0.87,0.45,2.2664,-18.279166666666665,78.16666666666667,1.980324074074074,0.0,16.34,8388.7,0.1,0.8606744406744573,0.009166182793182969,10.90966678892456,1,0.1,0.0001,5.4000000000000005e-05,0.002454545454545455,1.1739130434782611e-05,1e-05,9e-05,2.1600000000000003e-05,0.023478260869565223
1,1,2025-01-02,0.953,0.395,3.0111999999999997,-22.59166666666667,97.75,0.8599537037037036,0.0,16.34,8388.7,0.2,0.9579280795261471,0.010201934046953466,19.604125950973447,1,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
2,2,2025-01-03,1.013,0.323,3.7367,-26.583333333333332,28.083333333333332,2.0775462962962963,0.0,16.34,8388.7,0.2,1.038909931807956,0.011064390773754732,18.07600654112919,1,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
3,3,2025-01-04,0.706,0.605,0.5212,-19.891666666666666,99.875,3.9942129629629632,0.0,16.34,8388.7,0.1,0.6780826815194951,0.0072215805581826225,13.84738412793749,1,0.1,0.0001,5.4000000000000005e-05,0.002454545454545455,1.1739130434782611e-05,1e-05,9e-05,2.1600000000000003e-05,0.023478260869565223
4,4,2025-01-05,0.756,0.599,0.707,-17.266666666666666,99.79166666666667,1.6712962962962963,0.0,16.34,8388.7,0.2,0.7113735331381625,0.00757612812792143,26.39870876297753,1,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
5,5,2025-01-06,0.871,0.461,2.12,-15.333333333333334,83.58333333333333,1.53125,0.0,16.34,8388.7,0.1,0.8694075966674726,0.009259190904508583,10.800079729569777,1,0.1,0.0001,5.4000000000000005e-05,0.002454545454545455,1.1739130434782611e-05,1e-05,9e-05,2.1600000000000003e-05,0.023478260869565223
6,6,2025-01-07,0.984,0.417,2.9544,-9.904166666666667,32.541666666666664,3.2291666666666665,0.0,16.34,8388.7,0.2,1.0050263388287193,0.01070353050852586,18.685423453568962,1,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
7,7,2025-01-08,0.87,0.403,2.252,1.9749999999999999,72.875,5.653935185185185,1.1,16.34,8388.7,6.3,0.8534256544297708,0.00908898321967706,693.1468402715177,1,6.3,0.0063,0.003402,0.15463636363636366,0.0007395652173913045,0.00063,0.0056700000000000006,0.0013608000000000001,1.4791304347826089
8,8,2025-01-09,1.065,0.331,3.7901,-3.3125,11.291666666666666,3.810185185185185,0.0,16.34,8388.7,18.5,1.1156968761318056,0.01188217173080373,1556.9544372128535,1,18.5,0.0185,0.00999,0.45409090909090916,0.002171739130434783,0.0018499999999999999,0.016649999999999998,0.003996,4.343478260869565
9,9,2025-01-10,0.497,0.441,0.42229999999999995,-0.9583333333333334,91.95833333333333,3.8831018518518516,0.5,16.34,8388.7,4.0,0.5088324467675027,0.005419065558073904,738.1346391058828,1,4.0,0.004,0.00216,0.09818181818181819,0.0004695652173913044,0.0004,0.0036000000000000003,0.000864,0.9391304347826088
